#symbol	H1Rosa7_d0	H1Rosa7_d1	H1Rosa7_d2	H1Rosa7_d3	H1Rosa7_d4	H1Rosa7_d5	H1Rosa7_d6	H1Rosa7_d7	H1Rosa7_d8	H1Rosa7_d10	H1Rosa7_d12	H1Rosa7_d14	H1Rosa7_d16	H1Rosa7_d18	H1Rosa7_d20	H1Rosa7_d21	H1Rosa7_d22	H1Rosa7_d24	H1Rosa7_d26	H1Rosa7_d30	H1Rosa7_d32	H1Rosa7_d34	H1Rosa7_d36	H1Rosa7_d38	H1Rosa7_d40	H1Rosa7_d42
ABT1	35.56	36.86	29.38	25.39	26.16	29.85	30.43	36.04	19.89	60.68	20.32	29.23	46.01	31.52	35.2	28.87	26.41	22.18	36.76	20.76	35.98	38.44	20.5	17.03	5.07	19.57
ABTB1	1.61	2.9	0.9	5.07	1.36	1.59	0.59	0.84	0	0	4.21	1.64	6.98	3.06	3.35	3.58	0	0	2.34	2.98	0	0	0	0.78	0	0
ABTB2	5.58	3.24	2.34	2.03	1.64	2.55	0.47	1.86	1.11	0.7	1.7	0.65	2.79	6.16	3.35	1.79	6.28	3.66	8.9	8.73	14.5	7.84	7.45	15.31	12.41	6.91
ACAA1	31.52	35.27	16.12	17.9	12.61	15.59	16.08	22.48	21.18	11.5	8.07	20.45	8.44	35.97	7.28	20.44	20.74	15.72	16.59	15.1	9.07	23.97	11.72	10.06	4.99	24.41
ACAA2	222.12	274.61	216.73	139.13	101.07	118	56.84	71.56	98.93	179.74	119.12	158.75	195.91	141.51	156.43	177.47	105.5	169.5	164	89.22	137.86	119.16	122.15	138.11	70.35	63.54
ACACA	134.88	105.58	95.19	106.1	118.56	136.21	108.58	108.59	110.37	101.76	87.07	91.55	91	92.28	75.5	92.96	106.93	79.11	91.58	96.09	98.02	81.71	79.62	91.53	58.97	67.85
ACACB	2.5	3.11	4.19	5.93	5.09	4.18	3.76	5.65	2.32	6.87	5.64	4.67	7.35	3.6	8.34	7.01	5.88	3.88	6.88	6.57	1.92	6.41	3.11	2.98	1.64	7.11
ACAD10	5.51	10.48	9.45	8.05	15.98	11.3	8.39	12.1	9.25	14.66	8.81	11.2	18.23	19.57	15.19	8.56	23.06	2.43	8.02	14.21	9.85	10.55	9.54	5.73	11.97	4.11
ACAD11	8.1	11.84	13.52	14.1	17.75	8.37	4.91	13.63	8.07	13.28	22.58	15.38	17.99	14.03	12.94	25.23	21.35	22.45	16.62	35.39	26.12	12.48	20.64	29.17	19.83	20.18
ACAD8	30.8	43.62	27.8	32.93	22.63	28.7	27.05	25.34	22.95	21.33	14.25	44.72	20.18	22.07	15	12.04	34.21	44.7	28.36	8.01	31.59	28.99	19.33	27.32	22.6	6.19
ACAD9	23.41	28.8	24.41	27.13	21.92	31.08	27.61	31.63	40.87	45.84	32.43	17.52	33.26	32.37	25.6	29.45	19.75	31.14	34.96	9.87	29.27	29.24	20.99	41.24	21.52	10.57
ACADL	0	0.92	0.36	1	0	1.89	0	0.67	0	0	0.84	0	0	1.22	0.66	0	0	3.22	0	0.79	0	3.88	0.78	0	0	10.94
ACADM	82.83	105.19	110.13	97.29	59.88	89.8	83.74	101.53	130.84	123.37	81	142.94	153.9	175.15	163.33	107.71	109.55	107.05	156.42	56.35	83.75	98.63	51.16	116.47	62.38	47.06
ACADS	2.77	2.39	0.46	3.92	0	0	1.22	7.39	2.29	2.73	6.56	6.74	2.4	0.79	1.72	1.85	10.41	0	6.04	1.02	4.15	3.03	0	2.42	0	12.47
ACADSB	15.93	82.54	73.65	25.12	14.66	13.79	16.47	19.09	19.18	17.43	40.11	14.77	16.83	23.04	18.61	13.8	26.99	34.32	38.12	14.04	16.37	21.92	16.72	13.42	19.1	114.3
ACADVL	63.39	44.23	55.76	49.48	40.58	43.85	43.61	86.87	84.49	50.3	108.21	62.44	84.98	75.15	106.22	87.2	69.65	61.41	49.49	83.82	50.06	60.04	45.61	41.62	68.02	53.6
ACAN	0.12	0	0.62	0	0.16	0.36	1.08	1.49	1.36	1.62	0.97	0.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAP1	20.24	5.92	4.94	5.47	0	0	1.86	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAP2	49.11	40.19	44.36	45.25	47.25	51.4	51.64	39.59	46.53	43.66	48.94	49.5	54.8	39.15	46.15	49.03	58.93	23.26	36.54	45.95	42.16	40.35	39.35	37	23.64	44
ACAP3	7.01	10.59	12.21	16.88	15.68	12.9	14.53	16.09	19.48	29.47	21.04	24.35	36.1	35.78	30.6	19.65	33.43	51.05	34.89	42	42.09	32.77	55.81	44.09	51.18	37.91
ACAT1	31.28	35.89	27.85	39.25	32.81	30.94	18.61	23.8	52.5	27.71	20.58	42.35	48.11	41.27	30.18	27.32	36.33	51.77	39.01	30.29	41.91	19.03	38.07	36.13	23.32	3.2
ACAT2	290.9	268.72	286.59	286.53	255.45	243.29	237.47	279.86	404.67	266.93	237.03	243.51	294.66	426.77	320.76	271.16	253.88	365.49	317.45	237.14	235.49	260.51	354.42	292.57	178.48	132.46
